years,copper
1925,1.761
1926,1.761
1927,1.761
1928,1.761
1929,1.761
1930,1.735
1931,1.536
1932,1.045
1933,1.143
1934,1.448
1935,1.681
1936,1.895
1937,2.585
1938,2.254
1939,2.405
1940,2.683
1941,3
1942,3.076
1943,3.038
1944,2.848
1945,2.438
1946,2.067
1947,2.513
1948,2.58
1949,2.6
1950,2.915
1951,3.085
1952,3.105
1953,3.29
1954,3.11
1955,3.63
1956,3.79
1957,3.89
1958,3.78
1959,4.04
1960,4.65
1961,4.85
1962,5.085
1963,5.087
1964,5.297
1965,5.549
1966,5.485
1967,5.225
1968,5.64
1969,6.223
1970,6.638
1971,6.688
1972,7.321
1973,7.844
1974,8.047
1975,7.725
1976,7.525
1977,7.738
1978,7.604
1979,7.691
1980,7.405
1981,7.777
1982,7.622
1983,7.659
1984,7.879
1985,7.988
1986,7.939
1987,8.243
1988,8.727
1989,9.09
1990,8.95
1991,9.14
1992,9.47
1993,9.45
1994,9.43
1995,10
1996,11
1997,11.4
1998,12.2
1999,12.6
2000,13.2
2001,13.7
2002,13.6
2003,13.6
2004,14.6
2005,15
2006,15.1
2007,15.4
2008,15.4
2009,15.9
2010,15.9
2011,16.1
2012,16.9
2013,18.3
2014,18.5
2015,19.1
2016,20.1
2017,20
2018,20.4
2019,20.4
2020,20.6