years,fossil.FossilSimpleTechno,clean_energy.CleanEnergySimpleTechno,carbon_storage.CarbonStorageTechno,carbon_capture.direct_air_capture.DirectAirCaptureTechno,carbon_capture.flue_gas_capture.FlueGasTechno
2020,54.1914620239081,45.8085379760919,0.0,0.0,0.0
2021,54.2681647303074,45.7318352696927,0.0,0.0,0.0
2022,54.34222049632,45.65777950368,0.0,0.0,0.0
2023,54.4137640131557,45.5862359868443,0.0,0.0,0.0
2024,54.482920985983,45.517079014017,0.0,0.0,0.0
2025,54.5498088710243,45.4501911289757,0.0,0.0,0.0
2026,54.614537541269,45.385462458731,0.0,0.0,0.0
2027,54.6772098887403,45.3227901112597,0.0,0.0,0.0
2028,54.7379223702605,45.2620776297395,0.0,0.0,0.0
2029,54.7967655028037,45.2032344971963,0.0,0.0,0.0
2030,54.8538243137861,45.1461756862139,0.0,0.0,0.0
2031,54.8164055262208,45.1835944737792,0.0,0.0,0.0
2032,54.7799206395122,45.2200793604878,0.0,0.0,0.0
2033,54.7443351220322,45.2556648779678,0.0,0.0,0.0
2034,54.7096161238662,45.2903838761338,0.0,0.0,0.0
2035,54.6757323756688,45.3242676243312,0.0,0.0,0.0
2036,54.6426540947326,45.3573459052674,0.0,0.0,0.0
2037,54.6103528976771,45.3896471023229,0.0,0.0,0.0
2038,54.578801719219,45.421198280781,0.0,0.0,0.0
2039,54.547974736537,45.452025263463,0.0,0.0,0.0
2040,54.5178472987842,45.4821527012158,0.0,0.0,0.0
2041,54.3646173885366,45.6353826114634,0.0,0.0,0.0
2042,54.2147527725659,45.7852472274341,0.0,0.0,0.0
2043,54.0681437902441,45.9318562097559,0.0,0.0,0.0
2044,53.9246854942454,46.0753145057546,0.0,0.0,0.0
2045,53.7842774000118,46.2157225999882,0.0,0.0,0.0
2046,53.6468232510303,46.3531767489697,0.0,0.0,0.0
2047,53.5122307987711,46.4877692012289,0.0,0.0,0.0
2048,53.3804115962282,46.6195884037718,0.0,0.0,0.0
2049,53.2512808040923,46.7487191959077,0.0,0.0,0.0
2050,53.124757008663,46.8752429913371,0.0,0.0,0.0
2051,52.9750079483519,47.0249920516481,0.0,0.0,0.0
2052,52.8278470012825,47.1721529987175,0.0,0.0,0.0
2053,52.6832076467457,47.3167923532543,0.0,0.0,0.0
2054,52.5410256243229,47.4589743756771,0.0,0.0,0.0
2055,52.4012388386925,47.5987611613075,0.0,0.0,0.0
2056,52.2637872692064,47.7362127307936,0.0,0.0,0.0
2057,52.128612883962,47.871387116038,0.0,0.0,0.0
2058,51.9956595581088,48.0043404418912,0.0,0.0,0.0
2059,51.8648729961494,48.1351270038506,0.0,0.0,0.0
2060,51.736200658009,48.263799341991,0.0,0.0,0.0
2061,51.6213698563718,48.3786301436282,0.0,0.0,0.0
2062,51.5083397832219,48.4916602167781,0.0,0.0,0.0
2063,51.3970684106873,48.6029315893127,0.0,0.0,0.0
2064,51.2875150086718,48.7124849913282,0.0,0.0,0.0
2065,51.1796400951461,48.8203599048539,0.0,0.0,0.0
2066,51.0734053887071,48.9265946112929,0.0,0.0,0.0
2067,50.9687737632835,49.0312262367165,0.0,0.0,0.0
2068,50.865709204878,49.134290795122,0.0,0.0,0.0
2069,50.7641767702377,49.2358232297623,0.0,0.0,0.0
2070,50.6641425473545,49.3358574526455,0.0,0.0,0.0
2071,50.5509604064494,49.4490395935506,0.0,0.0,0.0
2072,50.4394721868767,49.5605278131233,0.0,0.0,0.0
2073,50.3296401434101,49.6703598565899,0.0,0.0,0.0
2074,50.2214276439789,49.7785723560211,0.0,0.0,0.0
2075,50.1147991289323,49.8852008710677,0.0,0.0,0.0
2076,50.0097200720801,49.9902799279199,0.0,0.0,0.0
2077,49.9061569434199,50.0938430565801,0.0,0.0,0.0
2078,49.8040771734651,50.1959228265349,0.0,0.0,0.0
2079,49.7034491190957,50.2965508809044,0.0,0.0,0.0
2080,49.6042420308547,50.3957579691453,0.0,0.0,0.0
2081,49.5379379121353,50.4620620878647,0.0,0.0,0.0
2082,49.4725917600527,50.5274082399473,0.0,0.0,0.0
2083,49.4081829623553,50.5918170376447,0.0,0.0,0.0
2084,49.3446914939227,50.6553085060773,0.0,0.0,0.0
2085,49.282097896009,50.717902103991,0.0,0.0,0.0
2086,49.2203832563596,50.7796167436404,0.0,0.0,0.0
2087,49.1595291901596,50.8404708098404,0.0,0.0,0.0
2088,49.0995178217745,50.9004821782255,0.0,0.0,0.0
2089,49.0403317672435,50.9596682327565,0.0,0.0,0.0
2090,48.9819541174907,51.0180458825093,0.0,0.0,0.0
2091,48.8888122220703,51.1111877779296,0.0,0.0,0.0
2092,48.7970666797402,51.2029333202598,0.0,0.0,0.0
2093,48.706686323613,51.293313676387,0.0,0.0,0.0
2094,48.6176409074868,51.3823590925132,0.0,0.0,0.0
2095,48.5299010720971,51.4700989279029,0.0,0.0,0.0
2096,48.443438312843,51.556561687157,0.0,0.0,0.0
2097,48.3582249489118,51.6417750510882,0.0,0.0,0.0
2098,48.2742340937336,51.7257659062664,0.0,0.0,0.0
2099,48.1914396266972,51.8085603733027,0.0,0.0,0.0
2100,48.1098161660672,51.8901838339328,0.0,0.0,0.0