years,renewable.CleanEnergySimpleTechno,fossil.FossilSimpleTechno,carbon_capture.direct_air_capture.DirectAirCaptureTechno,carbon_capture.flue_gas_capture.FlueGasTechno,carbon_storage.CarbonStorageTechno
2020,1e-06,700.1234003671151,366.31694326424076,570.2800186903762,348.74386787184244
2021,2.3510722015715197,673.4540923195347,369.75493007281665,556.1567698725006,354.743947515801
2022,8.34998274796723,648.9067257322783,372.644444905437,543.3883783578782,359.8672802902936
2023,17.612442111807457,626.4346057069657,375.01452308222036,531.8828611358782,364.166464279683
2024,29.754159765712515,605.9910373452155,376.89419992328504,521.5482351958697,367.6940975683319
2025,44.39084518230275,587.5293257486472,378.31251074874973,512.2925175272217,370.50277824060316
2026,61.1382078341985,571.0027760188798,379.2984908787328,504.0237251193032,372.6451043808597
2027,79.61195719402001,556.3646932575319,379.88117563335265,496.6498749614835,374.1736740734639
2028,99.42780273438768,543.5683825662234,380.0896003327279,490.07898404313147,375.141085402779
2029,120.2014539279218,532.5671490465729,379.95280029697693,484.21906935361636,375.59993645316763
2030,141.54862024724278,523.3142978001998,379.4998108462183,478.97814788230727,375.6028253089925
2031,163.08501116497084,515.7631339287232,378.75966730057036,474.2642366185732,375.20235005461655
2032,184.42633615372634,509.8669625337619,377.7614049801517,469.98535255178314,374.4511087744024
2033,205.18830468612958,505.57908871693536,376.5340592050807,466.04951267130645,373.40169955271307
2034,224.98662623480095,502.8528175798625,375.106665295476,462.36473396651206,372.1067204739112
2035,243.43701027236068,501.6414542241625,373.5082585714559,458.839033426769,370.61876962235954
2036,260.1551662714292,501.89830375145453,371.76787435313895,455.3804280414464,368.99044508242093
2037,274.83061785460006,503.54422956645413,369.91389826754744,451.91519975515854,367.26895887374917
2038,287.4481452443594,506.3703282862629,367.9721171693187,448.4426903334995,365.4799787571615
2039,298.0663428131673,510.13525483107946,365.9676682199943,444.9805064973089,363.64378642876665
2040,306.7438049334829,514.5976641211013,363.92568858111525,441.54625496742597,361.78066358467265
2041,313.5391259777661,519.5162110765273,361.87131541422286,438.1575424646902,359.910891920988
2042,318.5109003184764,524.6495506175552,359.82968588085845,434.8319757099409,358.054753133821
2043,321.7177223280734,529.7563376643833,357.8259371425632,431.58716142401744,356.23252891928024
2044,323.21818637901674,534.59522713721,355.8852063608786,428.4407063277593,354.46450097347383
2045,323.07088684376606,538.9248739562331,354.0326306973456,425.41021714200576,352.7709509925103
2046,321.3344180947809,542.5039330416512,352.29334731350576,422.51330058759635,351.17216067249797
2047,318.0673745045211,545.0910593136623,350.6924933709002,419.7675633853704,349.6884117095453
2048,313.328350445446,546.4449076924647,349.25520603107026,417.1906122561673,348.3399857997606
2049,307.1759402900152,546.3241330982563,348.0066224555571,414.8000539208263,347.14716463925214
2050,299.66873841068855,544.4873904512356,346.97187980590206,412.613495100187,346.13022992412846
2051,290.86533917992546,540.6933346716006,346.1761152436464,410.64854251508854,345.30946335049777
2052,280.8243369701855,534.7006206795496,345.64446593033125,408.92280288637045,344.7051466144685
2053,269.63399460616336,526.362433406318,345.3795884246857,407.43346010695933,344.3167678979779
2054,257.5012487214921,515.9100778272901,345.294216874189,406.09600675813056,344.0606413262784
2055,244.66270440204022,503.66938892888726,345.2786048235077,404.8055125932463,343.83228751045095
2056,231.3549667336757,489.96620169753106,345.223005817309,403.4570473656694,343.5272270615768
2057,217.81464080226692,475.1263511196429,345.01767340025964,401.9456808287621,343.04098059073715
2058,204.278331693682,459.4756721816443,344.55286111702634,400.166482735887,342.2690687090132
2059,190.98264449378925,443.3399998699569,343.7188225122762,398.01452284040664,341.10701202748606
2060,178.16418428845674,427.0451691710018,342.40581113067566,395.38487089568326,339.45033115723686
2061,166.05955616355277,410.9170150712008,340.50408051689203,392.1725966550797,337.1945467093468
2062,154.90536520494553,395.2813725569754,337.9038842155919,388.27276987195825,334.23517929489714
2063,144.93821649850327,380.4640766147469,334.4954757714422,383.5804602996813,330.4677495249689
2064,136.39471513009408,366.790962230937,330.16910872910984,377.9907376916116,325.78777801064336
2065,129.5114661855863,354.58786439196683,324.81503663326146,371.39867180111133,320.09078536300154
2066,124.52507475084803,344.18061808425796,318.323513028564,363.6993323815432,313.27229219312466
2067,121.67214591174758,335.8950582942323,310.5847914596845,354.78778918626966,305.22781911209404
2068,121.1892847541531,330.0570200083108,301.48912547128947,344.55911196865304,295.8528867309906
2069,123.23264136130278,326.89543258920025,290.97398355344995,332.9545201012529,285.08923801597615
2070,127.63654580591465,326.2516029047466,279.16569397785224,320.0998314334158,273.06350535353357
2071,134.15487315807684,327.8699321990813,266.2377999615862,306.1670134336851,259.94854348522614
2072,142.54149848787725,331.49482171633554,252.3638447217424,291.3280335706044,245.91720715261758
2073,152.55029686540405,336.87067270064045,237.71737147541086,275.75485931271714,231.1423510972712
2074,163.93514336074506,343.74188639612714,222.47192343968186,259.6194581285669,215.79683006075038
2075,176.44991304398854,351.8528640469269,206.80104383164547,243.093797486697,200.05349878461857
2076,189.8484809852224,360.948006897171,190.87827586839188,226.34984485565096,184.08521201043908
2077,203.8847222545346,370.77171619099056,174.87716276701155,209.5595677039724,168.06482447977558
2078,218.3125119220134,381.0683931725169,158.97124774459428,192.8949335002046,152.16519093419114
2079,232.88572505774655,391.582439085881,143.33407401823067,176.52790971289122,136.55916611524958
2080,247.35823673182227,402.0582551752143,128.13918480501073,160.63046381057575,121.41960476451416
2081,261.48392201432864,412.24024268464797,113.56012332202451,145.37456326180143,106.91936162354808
2082,275.01665597535333,421.872802858313,99.77043278636243,130.93217553511198,93.23129143391512
2083,287.71031368498484,430.70033694034083,86.94365641511453,117.4752680990507,80.52824893717842
2084,299.31877021331087,438.46724617486257,75.25333742537116,105.17580842216134,68.98308887490161
2085,309.657796085145,444.98026243993627,64.83574023124419,94.16871952050468,58.73208196873895
2086,318.7907436442019,450.29544014932674,55.678014034932396,84.44074660021182,49.76516286070835
2087,326.8428606889221,454.5311643507262,47.730029235656616,75.94159041493157,42.035682172918946
2088,333.9393950177457,457.8058200918264,40.941656232637314,68.62095171831244,35.496990527479525
2089,340.2055944291129,460.23779242031895,35.26276542509524,62.42853126400315,30.10243854649914
2090,345.76670672146406,461.94546638389585,30.643227212250974,57.314029805652304,25.805376852086674
2091,350.74797969323936,463.0472270302489,27.032911993325115,53.227148096908486,22.559156066351033
2092,355.27466114287904,463.66145940707,24.381690167538373,50.11758689142045,20.317126811401238
2093,359.4719988688235,463.9065485620511,22.639432134111324,47.93504694283675,19.032639709346174
2094,363.46524066951275,463.90087954288384,21.756008292264646,46.629229004806106,18.65904538229482
2095,367.37963434338724,463.7628373972602,21.68128904121894,46.1498338309771,19.149694452356087
2096,371.3404276888871,463.6108071728719,22.36514478019485,46.44656217499839,20.457937541638938
2097,375.47286850445266,463.5631739174109,23.757445908413004,47.46911479051862,22.53712527225229
2098,379.90220458852434,463.7383226785691,25.808062825094066,49.167192431186464,25.340608266305136
2099,384.75368373954194,464.25463850403816,28.466865929458613,51.49049585065049,28.821737145906337
2100,390.15255375594603,465.23050644151004,31.683725620727316,54.388725802559385,32.93386253316488
